p_1e-4,,p_1e-3,,p_1e-2,,p_1e-1,,p_1e0,,p_1e1,,p_1e2,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4992.653449038548,1.1242195800873622,4996.515188798536,1.1028001880375675,4997.53929658019,1.1125895205326497,4995.085705019977,1.1474692447631822,5007.012293560494,1.2031408461121598,4998.072686049802,1.2343547978738383,4996.216490695554,1.2166116327265022
5500.034848112013,1.2492219981196242,5494.103557209931,1.1341921140856068,5491.99133491027,1.1140016158144999,5493.079449428275,1.1244027815905246,5497.175880554895,1.1635601115708534,5496.57848434893,1.216183000948722,5497.794612339645,1.227807833286632
6001.86899670152,1.262865531803525,6004.194574789026,1.2267621410111074,5994.593564336014,1.134987148869712,5993.3134296089465,1.1227504832508592,5995.233631699549,1.1411054816791384,6000.162150398761,1.188216644311721,5998.348626202081,1.2292147013516799
6494.422168519779,1.1877932397507434,6489.835019081119,1.2606118546165215,6495.574289774139,1.1988062388077108,6495.275591671157,1.1376176834966452,6495.147578198452,1.13639401693476,6492.309946220115,1.1676027414796364,6491.328509596032,1.2165546311718494
6990.047663683002,1.1420889451832084,6990.79440894046,1.2075603334608727,6989.044891480134,1.249170223781774,6986.633971077487,1.1677911701996013,6989.919650210296,1.1408652786213231,6991.391805146423,1.1549374440830038,6983.604318890096,1.19716439490165
7494.911464459904,1.1263592541650604,7492.713899845104,1.1636863115193634,7493.716672047972,1.2316050329207981,7492.244517111844,1.2175328674591173,7491.945819008862,1.1563443121480517,7491.497771854388,1.1520614791814534,7494.570095199352,1.1814294766666997
7995.657498531401,1.1296016220729361,7997.129653467527,1.1436737875346168,7996.404243788856,1.1950730103506002,8001.396769224421,1.242796006264126,7995.188115798142,1.1834481780126902,7992.563839607651,1.1583630134940424,7994.292021489194,1.1748825120794935
8490.685597488657,1.13652021688327,8491.133644643134,1.1408030498498687,8494.07795451539,1.1689473807732298,8494.312645882019,1.2295241028033528,8498.686439532838,1.2129993770010994,8482.00201692338,1.1701815017687194,8500.75599067493,1.1744486530849114
8967.599790057902,1.1452899931868386,8985.77770318227,1.1440506449745467,8987.121844645691,1.156899143874342,8986.140408021609,1.2058510335665549,8989.340744839279,1.2364426976136866,8983.964178985592,1.1850487020145053,8983.004077940292,1.1758712028003657
9487.54784503542,1.1570823453775043,9499.431762418371,1.154012724539187,9493.201773413308,1.1527942851941038,9496.722143912746,1.1864451156459488,9489.766745229008,1.236625899116849,9498.770359476053,1.206023780636113,9496.146083285563,1.1809386161174649
9984.81617976505,1.1854151050208306,9988.165865634212,1.159101046723495,9988.165865634212,1.159101046723495,9983.920085456106,1.1768494390876336,9988.976617628025,1.225184268282102,9983.002655568369,1.2264131620607892,9979.03423791446,1.1884794986423457
10484.964817630582,1.2412803623065751,10489.551967069245,1.1684617474407974,10482.93793764606,1.1635723084100582,10477.924076631709,1.1739787014028855,10481.892494285621,1.2119123648213286,10478.862842098224,1.2412855895233772,10480.676366294905,1.2002875324834186
10994.73580152791,1.3307912228273624,11004.166127350647,1.187601326219577,11002.501952205457,1.1716936609150685,11002.885992623575,1.1753646606007244,10999.60031349077,1.2022905521790026,11004.400818717273,1.2481780482497,11007.046430486553,1.2151338238619955
11486.392879037223,1.4221532648413842,11483.70459611038,1.2214562670417934,11485.390106834351,1.1792345434399494,11485.390106834351,1.1792345434399494,11487.502329134015,1.1994250417110564,11485.944831882749,1.2428704318747856,11484.728703892033,1.2312455995368756
11987.629631420761,1.4884196879031533,11989.507162353795,1.2730334641441372,11986.968228478443,1.1904307440000794,11992.494143383621,1.1849190172547934,11987.800316051038,1.1983845766523338,11991.640720232244,1.2350945735088918,11992.72883475025,1.2454957392849166
